โรค/สภาวะ,พารามิเตอร์สภาพอากาศหลัก,ช่วงที่เหมาะสม/เอื้ออำนวย (สำหรับโรค/สุขภาพ),ระดับความเสี่ยง/สถานะ,หมายเหตุ/เงื่อนไขเฉพาะ
CBB,ความชื้นสัมพัทธ์,≥90%,สูง,ต้องมีระยะเวลา ≥12 ชั่วโมง
,อุณหภูมิ,22-26°C (หรือ 25-32°C),สูง,อุณหภูมิที่สูงและผันผวน (15-30°C) เพิ่มความรุนแรง
,ปริมาณน้ำฝน,"สูง (เช่น >X มม./วัน), ฝนตกบ่อย, ลมกระโชก",สูง,ตัวขับเคลื่อนหลักของการแพร่กระจายเชื้อทุติยภูมิ
,,ความชื้นสูง (>80%),ปานกลาง,สนับสนุนการอยู่รอดของแบคทีเรีย
CBSD & CMD,สภาพอากาศ (โดยอ้อมผ่านแมลงหวี่ขาว),ช่วงแห้งแล้งยาวนาน (ปริมาณน้ำฝนต่ำ เช่น <Y มม./สัปดาห์),สูง,แมลงหวี่ขาว (Bemisia tabaci) เพิ่มจำนวนสูงสุดในช่วงแห้งแล้ง
,อุณหภูมิ (สำหรับแมลงหวี่ขาว),22-32°C,สูง,ช่วงที่เหมาะสมสำหรับการสืบพันธุ์ของแมลงหวี่ขาว
,ความชื้น (สำหรับแมลงหวี่ขาว),สูง,สูง,เอื้อต่อประชากรและการแพร่กระจายของแมลงหวี่ขาว
,ปริมาณน้ำฝน,การเริ่มต้นฤดูฝน,ต่ำ,ลดแรงกดดันจากแมลงหวี่ขาวตามธรรมชาติ
CGM,สภาพอากาศ,ช่วงแห้งแล้งยาวนาน (ปริมาณน้ำฝนต่ำ เช่น <Y มม./สัปดาห์),สูง,ประชากรไรเพิ่มขึ้นสูงสุดในช่วงแห้งแล้ง
,อุณหภูมิ,27-34°C,สูง,อุณหภูมิมีผลกระทบมากที่สุดต่ออัตราการเจริญเติบโตและการสืบพันธุ์ของไร
,ปริมาณน้ำฝน,สูง (เช่น >X มม./วัน),ต่ำ,ฝนชะล้างไรออกจากใบ
,ความชื้นสัมพัทธ์,สูง,ต่ำ (ซับซ้อน),อาจยับยั้งการเจริญเติบโตของไร แต่ความสัมพันธ์ไม่เป็นเส้นตรงและอาจส่งเสริมศัตรูธรรมชาติ
สุขภาพดี,อุณหภูมิ,25-32°C,เหมาะสม,อุณหภูมิที่อยู่นอกช่วงนี้ทำให้พืชเครียด
,ปริมาณน้ำฝน,1000-1200 มม. ต่อปี (กระจายสม่ำเสมอ),เหมาะสม,สนับสนุนการพัฒนาของรากและหัวที่แข็งแรง
,ความชื้นสัมพัทธ์,70-80%,เหมาะสม,สำคัญต่อการสังเคราะห์แสงและลดความเครียด
,แสงแดดโดยตรง,10-12 ชั่วโมงต่อวัน,เหมาะสม,จำเป็นสำหรับการเจริญเติบโตและผลผลิตสูงสุด
,สภาพดิน,"ระบายน้ำดี, อุดมสมบูรณ์, pH 5.5-6.5",เหมาะสม,ลดความเครียดของพืชและเพิ่มความยืดหยุ่น
